"Story","Title","Result","Date","Stability","Duration (s)"
"Product CURD test with steps","This will create a New product","SUCCESS","2023-01-01T18:17:03.028Z[Europe/London]","0.0","4.15"
"Stores CURD test with steps","This will create a New Store","SUCCESS","2023-01-01T18:17:03.030Z[Europe/London]","0.0","4.13"
"Stores CURD test with steps","Verify if the Store was added to the application","SUCCESS","2023-01-01T18:17:07.190Z[Europe/London]","0.0","0.07"
"Product CURD test with steps","Verify if the Product was added to the application","SUCCESS","2023-01-01T18:17:07.206Z[Europe/London]","0.0","0.07"
"Stores CURD test with steps","Update the Store information","SUCCESS","2023-01-01T18:17:07.264Z[Europe/London]","0.0","0.1"
"Product CURD test with steps","Update the product information","SUCCESS","2023-01-01T18:17:07.281Z[Europe/London]","0.0","0.1"
"Stores CURD test with steps","Delete the Store by ID","SUCCESS","2023-01-01T18:17:07.367Z[Europe/London]","0.0","0.07"
"Product CURD test with steps","Delete the product by ID","SUCCESS","2023-01-01T18:17:07.379Z[Europe/London]","0.0","0.07"
